Loại hàng,Nhóm hàng(3 Cấp),Mã hàng,Tên hàng,Thương hiệu,Giá bán,Giá vốn,Tồn kho,KH đặt,Dự kiến hết hàng,Tồn nhỏ nhất,Tồn lớn nhất,ĐVT,Mã ĐVT Cơ bản,Quy đổi,Thuộc tính,Mã HH Liên quan,"Hình ảnh (url1,url2...)",Trọng lượng,Đang kinh doanh,Được bán trực tiếp,Mô tả,Mẫu ghi chú,Vị trí,Hàng thành phần
Hàng hóa,Hải Sản,SP000116,Cá Bè Cam,,0.0,"150,000.0",0.0,0.0,4 ngày,0.0,"999,999,999.0",kg,,1.0,,,,,1,1,,,,
Hàng hóa,Hải Sản,SP000297,Tuna Saku 4A XK,,0.0,"240,000.0",119.50,0.0,67 ngày,0.0,"999,999,999.0",kg,,1.0,,,,,1,1,,,,
Hàng hóa,Hải Sản,SP000296,Lườn Cá Thu,,0.0,"70,000.0",8.0,0.0,45 ngày,0.0,"999,999,999.0",kg,,1.0,,,,,1,1,,,,
Hàng hóa,Hải Sản,SP000238,Cá Chim vây vàng đông lạnh,,0.0,"95,000.0","2,227.262",0.0,365 ngày,0.0,"999,999,999.0",kg,,1.0,,,,,1,1,,,,
Hàng hóa,Hải Sản,SP000142,Mực nang nút 9-10,,0.0,"143,125.73",11.0,0.0,1 ngày,0.0,"999,999,999.0",kg,,1.0,,,,,1,1,,,,
Hàng hóa,Hải Sản,SP000192,Cá Ngân,,0.0,"135,000.0",0.0,0.0,0 ngày,0.0,"999,999,999.0",kg,,1.0,,,,,1,1,,,,
Hàng hóa,Hải Sản,SP000179,Thùng tạm,,0.0,"660,000.0",3.0,0.0,--,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Hải Sản,SP000260,Loin kiếm chờ cắt steak,,0.0,0.0,0.0,0.0,20 ngày,0.0,"999,999,999.0",kg,,1.0,,,,,1,1,,,,
Hàng hóa,Hải Sản,SP000102,Loin kiếm,,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",kg,,1.0,,,,,1,1,,,,
Hàng hóa,Hải Sản,SP000006,Nang roll,,0.0,0.0,0.0,0.0,0 ngày,0.0,"999,999,999.0",kg,,1.0,,,,,1,1,,,,
