Dạng đối tượng,Đối tượng,Giải thích,Mã NCC,SDT,ĐỊA CHỈ
Nhân Viên,Trang,Nhân viên của VGVINA,,,
Nhân Viên,Vương,Nhân viên của VGVINA,,,
Nội Bộ,Nội Bộ,,,,
NCC Điện,EVN,,,,
Ngân hàng,Techcombank,,,,
Ngân hàng,Việt Nga - VRN,Ngân hàng Việt Nga (viết tắt VRN),,,
Ban Lãnh Đạo,Mr. Hoàn,Thành viên ban lãnh đạo VGVINA,,,
Ban Lãnh Đạo,Mr. Sơn,Thành viên ban lãnh đạo VGVINA,,,
Khác,Khác,,,,
NCC,NCC CHẢ CÁ - CHỊ NGOAN - BÉ TÂN,Nhà cung cấp,,,
NCC,NCC BT - TRẦN THỊ VI MÂN,Nhà cung cấp,,,
NCC,NCC NHUM - KIM LOAN - NINH THUẬN,Nhà cung cấp,,,
NCC,NCC NHUM - ĐẶNG - LÝ SƠN,Nhà cung cấp,,,
NCC,NCC VẸM ĐEN - LÊ CÔNG,Nhà cung cấp,,,
NCC,NCC BT - ANH TỚI - PHÚ QUÝ,Nhà cung cấp,,,
NCC,NCC NHUM ĐEN - QUANH BÙI,Nhà cung cấp,,,
NCC,CÔNG TY TNHH EBT SÀI GÒN,Nhà cung cấp,,,
NCC,CT VIỆT ORGANIC - TAM QUAN,Nhà cung cấp,,,
NCC,NCC LƯỜN KIẾM - CHỊ PHƯƠNG DUNG - PY,Nhà cung cấp,,,
NCC,NCC VÕ THỊ Ý - TAM QUAN,Nhà cung cấp,,,
NCC,NCC CÁ TƯƠI - CHỊ XUÂN PHƯƠNG - QN,Nhà cung cấp,,,
NCC,NCC CHẢ CÁ - TRÍ - PY,Nhà cung cấp,,,
NCC,CT HẢI SẢN LINH LINH,Nhà cung cấp,,,
NCC,CT HOÀN TRUYỀN,Nhà cung cấp,,,
NCC,NCC BT - CHỊ NGA - PY,Nhà cung cấp,,,
NCC,NCC BT - CHỊ SĨ - LÝ SƠN,Nhà cung cấp,,,
NCC,NCC CHỊ NGÂN - HÒN XỆN,Nhà cung cấp,,,
NCC,NCC VẸM - DŨNG  - CR,Nhà cung cấp,,,
NCC,CT DƯƠNG TUẤN PHÁT - TAM QUAN (THÚY),Nhà cung cấp,,,
NCC,NCC MR TRƯỜNG SSM - PY ,Nhà cung cấp,,,
NCC,NCC MARUSEI- ĐÀ NẴNG,Nhà cung cấp,,,
NCC,NCC NHUM - SON - NINH HÒA,Nhà cung cấp,,,
NCC,NCC KIM DUNG - NINH HÒA,Nhà cung cấp,,,
NCC,NCC CHỊ GÁI - VĨNH TRƯỜNG,Nhà cung cấp,,,
NCC,NCC NGUYỄN THỊ THU - PHÚ QUÝ,Nhà cung cấp,,,
NCC,CT TRƯỜNG THẢO - PY (TRƯỜNG),Nhà cung cấp,,,
NCC,CT GO FOOD - KIÊN GIANG (MR CÔNG),Nhà cung cấp,,,
NCC,NCC CHẢ CÁ - CHỊ TUYẾT SƯƠNG - PY,Nhà cung cấp,,,
NCC,NCC BÉ TÂN - VĨNH LƯƠNG,Nhà cung cấp,,,
NCC,NCC CHỊ HỒNG CHÂU - HÒN RỚ,Nhà cung cấp,,,
NCC,NCC THIỆU - CHỊ TÂM ,Nhà cung cấp,,,
NCC,TỪ SẢN XUẤT,Nhà cung cấp,,,
NCC,HOÀNG THỊ THÚY - HÒN RỚ (CÔ THỦY),Nhà cung cấp,,,
NCC,NCC NHUM ĐEN - NGUYỄN THỊ PHÚC,Nhà cung cấp,,,
NCC,NCC NHUM - ĐỖ THỊ ÁNH - PHÚ QUÝ,Nhà cung cấp,,,
NCC,NCC CHỊ HOA - HÒN RỚ,Nhà cung cấp,,,
NCC,NCC CHỊ TRANG - HÒN XỆN,Nhà cung cấp,,,
NCC,NCC PHẠM THỊ LỢI - PHÚ QUÝ,Nhà cung cấp,,,
NCC,NCC LỢI THU - PHÚ QUÝ,Nhà cung cấp,,,
NCC,NCC VÕ THỊ THẮM - PHÚ QUÝ,Nhà cung cấp,,,
NCC,NCC TRẦN THỊ ÚT - PHÚ YÊN,Nhà cung cấp,,,
,,,,,
,,,,,
,,,,,
NPP,CT TNHH MTV ĐẠT PHÚ NGUYÊN,Nhà phân phối,,090 500 67 55,BX Đà Nẵng
NPP,CT TNHH NGUYÊN PHƯƠNG,Nhà phân phối,,091 147 1749,"khu vực chợ Bình Tân, Thành phố Nha Trang, Khánh Hòa"
NPP,CT TNHH MTV SHIZEN FOOD,Nhà phân phối,,0792328259- anh Kiên (0984383533-anh nhã),"602/45b Điện Biên Phủ, Phường 22, Quận Bình Thạnh, HCM"
NPP,CT TNHH MTV TM DV HH TP PHÚ QUỐC (ANH THỰC-PQ),Nhà phân phối,,0973467588,"Thành phố Phú Quốc, Kiên Giang"
NPP,CT TNHH TP NHẬT KOTO (MR KIÊN- HL),Nhà phân phối,,0904779771,"tổ 7, khu 8, phương Bãi Cháy, TP Hạ Long, Quảng Ninh, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh"
NPP,CT TNHH VẠN QUANG FOOD,Nhà phân phối,,0949 248 753,"số 21, Phạm Hồng Thái, khóm 2, Phường 8, Thành phố Vĩnh Long, Vĩnh Long"
NPP,CT TNHH SƠN MAI VỊ BIỂN (MR NGỌC-NHA TRANG),Nhà phân phối,,098 477 55 77,"13B ô 100 Tây Hải, Phường Nha Trang, Tỉnh Khánh Hòa, Việt Nam"
NH,CT TNHH NH NAM SAN F&B (SUSHI NOWZOON),Nhà hàng,,,"51-53 Nguyễn Thị Thập, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Việt Nam"
NPP,CT TNHH PGF ASIA- HN,Nhà phân phối,,0942268638 / Lan Anh 0942268638 nhận hàng,"số 20 ngõ 374 âu cơ, Phường Quảng An, Quận Tây Hồ, Hà Nội"
NPP,CT TNHH PGF ASIA- SG,Nhà phân phối,,0967219282,"41/24 đường số 9, Phường An Khánh, Thành phố Thủ Đức, Hồ Chí Minh"
NH,CT TNHH GINKAKU ( MS THIÊN TRANG),Nhà hàng,,0982771994,"33 Phạm Ngũ Lão, HN"
NPP,CT GREENGOOD,Nhà phân phối,,0388 255 246,"Nhà xe Phương Nam Q5, HCM"
KL,MS GIANG- CẦN THƠ,,,0939 607 604,CẦN THƠ
NPP,CT TNHH MEAT AND FISH,Nhà phân phối,,0937 648 059,"1a đường 26,  phường Phước Long A, Q9, HCM"
NH,CT TNHH UMEYAKIA (MR NHÂN- THE VIEW ĐÀ NẴNG),Nhà hàng,,0906 724 195,tầng 1 du thuyền marina - đối diện 461 trần hưng đạo - an hải tây -sơn trà- đà nẵng.
NH,SUSHI O BA,Nhà hàng,,097 682 6875,"SỐ 1 Nguyễn Công Trứ, P.19, Quận Bình Thạnh,Hồ Chí Minh"
NPP,CT TNHH TM TP SH (SH FOODS),Nhà phân phối,,0902428384- Hoàng,"102/3 Quang Trung, khu phố 5, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Hồ Chí Minh"
NH,CT TNHH DG GROUP (HARU - Q12),Nhà hàng,,0905791988 ,"2082/3 An Phú Đông 10, An Phú Đông, Q12, HCM ((nhận hàng từ 8-12h sau thời gian này kho không nhận hàng))"
KL,MR ÁNH ECO-HN,,,0932388544,
NH,NH QUẢNG NINH- CS2,Nhà hàng,,0843302155,Hùng thắng Hạ Long
KL,MR THIỆU - NHA TRANG (CÁ NHÂN),,,,
NH,CT TNHH TM DV ONE MOREANH (MR TUẤN NGHĨA- ĐÀ NẴNG),Nhà hàng,,0379098205,"26 Quang Trung ,Thạch Thang, Hải Châu, Đà nẵng"
NH,CT TNHH SAKURA SUSHI,Nhà hàng,,,
NH,GOFOOD- HN,Nhà hàng,,,
NPP,CT TNHH ĐẢO HẢI SẢN,Nhà phân phối,,,
NPP,CT TNHH TP TS SẠCH HÀ TĨNH (TRUNG-HÀ TĨNH),Nhà phân phối,,,
NH,CT TNHH TM DV VINROLL VN ( MR PHÚC- THỦ ĐỨC),Nhà hàng,,,
NH,CT CP TẬP ĐOÀN DU THUYỀN- NHA TRANG,Nhà hàng,,,
NPP,CT CP DV LƯƠNG NGUYÊN,Nhà phân phối,,,
KL,MR BÌNH- HN,,,,
NH,"CT TNHH TISM & CO ( MR NAM- LA THÀNH,HN)",Nhà hàng,,,
NH,CT CP DV TM HADU,Nhà hàng,,,
KH,MR MẠNH TOCHANSISHI,,,,
NH,CT TNHH TM THỰC PHẨM VÕ GIA (MR THỐNG),Nhà hàng,,,
NH,CN CT CP TM VÀ DV VIET DELI - NHA TRANG,Nhà hàng,,,
NH,CT TNHH VIETART F&B,Nhà hàng,,,
KL,MR THỊNH- ĐÀ NẴNG,,,,
NH,HKD Y SA BI (MS GIA HÂN- TRÀ VINH),Nhà hàng,,,
NH,MR THIÊN SS- NHA TRANG,Nhà hàng,,,
NPP,CT TNHH NEW FRESH FOODS,Nhà phân phối,,,
NPP,CT TNHH XNK SK FOODS VN,Nhà phân phối,,,
NH,CT TNHH DV TOTORO VN (MS HẰNG - ĐÀ NẴNG),Nhà hàng,,,
NH,NH HS HÀM NINH GRANDWORLD PHÚ QUỐC,Nhà hàng,,,
NH,GOFOOD-SG (CT TNHH FBC SÀI GÒN),Nhà hàng,,,
NH,MR THỦY- NGHỆ AN (FUJIMO),Nhà hàng,,,
NH,NH UNI SUSHI,Nhà hàng,,,
NH,NH BABABA-PHÚ QUỐC,Nhà hàng,,Anh Tâm-096 256 1356 (ng nhận hàng)    ,    Phú Quốc
NH,CT CP QL KS VÀ KND LYNN TIMES (MR ĐINH ĐỒNG),Nhà hàng,,,
KL,MR LEE - PHÚ QUỐC,,,,
KL,MR TOÀN - ĐÀ NẴNG,,,0944874874,"35 Lê Hồng Phong, Quận Hải Châu, Đà Nẵng"
KL,MS NGỌC ANH- ĐÀ NẴNG,,,0973634905,"55B Nguyễn Chí Thanh, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng"
KL,MR ĐỊNH- NHA TRANG,,,,
NH,CT TNHH ĐT NGỌC THỊNH PHÁT (MR TÌNH),Nhà hàng,,,
KL,MR TRẦN THANH HOÀN- ĐÀ NẴNG,,,,
KL,MR QUÝ - ĐỒNG NAI,,,,
KL,MR HÙNG- MAI HẮC ĐẾ - HN,,,,
NH,NH QUẢNG NINH-CS1,Nhà hàng,,0397879043,"176 Huỳnh Thúc Kháng, Hồng Hà, Hạ Long, Quảng Ninh, Thành phố Hạ Long, Quảng Ninh"
NH,MR RI SISHI (MR PHÚC SUSHI),,,,
KL,MR HIỆP- BẮC GIANG,,,,
NH,NH TAKO IKA- SG,Nhà hàng,,,
KL,BÀ MINH- HÀ TĨNH,,,,
KL,"MR BẮC - TRƯƠNG ĐỊNH, HN",,,,
NH,SS GARDEN NGUYỄN TRÃI,Nhà hàng,,,
NH,NH DASUSHI- NVL,Nhà hàng,,,
NH,NH QUẢNG NINH-CS3,Nhà hàng,,0377096113,"Ô 7,8 SH18, Phú Gia 2, Vinhome Cẩm Bình, Cẩm Phả, Quảng Ninh, Thành phố Hạ Long, Quảng Ninh"
KL,"MR NHÂN SS- 290 KIM MÃ, HN",,,,
KL,MR HIẾU- VŨNG TÀU,,,,
NH,CT MADISON LAND HỒ TRÀM,Nhà hàng,,,
KL,MR TÂN- HẢI PHÒNG,,,,
NH,NAKED FOODS QUẬN 1,Nhà hàng,,,
KL,CT TNHH TM VÀ DV ATABLE VN,,,,
NH,CT LÊ GIA (MINORI CS2),Nhà hàng,,,
NH,CT TNHH GOLDEN FINE FOODS,Nhà hàng,,,
NH,CT TNHH SANMARU (MR NGỌC- HN),Nhà hàng,,,
NH,AKIKO SUSHI - SG,Nhà hàng,,,
KL,MS TUYỀN- THỦ ĐỨC,,,,
KL,HÀ DƯƠNG FOODS- SG,,,,
KL,MR HẠNH- BẮC NINH,,,,
NH,NAKED FOODS QUẬN 3,Nhà hàng,,,
KL,MS MAI TRINH- ĐÀ NẴNG,,,,
