Ngày,Loại,Hạng mục,Diễn giải,Số tiền,Người thực hiện,Đối tượng,Dạng đối tượng,Tài khoản,Tài khoản liên quan,Mã giao dịch,Chứng từ
08/11/2025,Thu,,Anh Hoàng Vũ thanh toán công nợ,4.550.000,Trang,,,Tk Ni,,20251108-001,
07/11/2025,Chi,,"Thanh toán tiền nước T10,2025",2.485.896,Trang,,,Tiền mặt,,20251107-001,
07/11/2025,Chi,,Mr Hoàn gửi phong bì cho bên thôn Cát Lợi: Đại hội chi bộ.  Mua mì tôm gạo tặng người nghèo,1.000.000,Trang,,,Tiền mặt,,20251107-002,
07/11/2025,Chi,,Gửi 1 thùng tài thắng cho Phương HN,250.000,Trang,,,Tiền mặt,,20251107-003,
07/11/2025,Chi,,Mua 2 bình nhớt cho máy hck,240.000,Trang,,,Tiền mặt,,20251107-004,
07/11/2025,Chi,,Gửi 2 thùng cho vạn quang phú quốc,500.000,Trang,,,Tiền mặt,,20251107-005,
07/11/2025,Chi,,Gửi 1 thùng cho vạn quang vĩnh long,150.000,Trang,,,Tiền mặt,,20251107-006,
07/11/2025,Chi,,Gửi 5 thùng cho DPN,500.000,Trang,,,Tiền mặt,,20251107-007,
07/11/2025,Thu,,CT TNHH KIWAMI VIET NAM chuyen tien thanh toan công nợ hd 1166,1.745.625,Trang,,,TCB CTY,,20251107-008,
07/11/2025,Chi,,CK trả lại tiền dư công nợ T10 của DPN (đã unc qua tk công ty),10.711.000,Trang,,,TK Linh,,20251107-009,
07/11/2025,Thu,,"Go Food ck trả (do mình nhờ xuất hóa đơn, xong unc qua tk công ty cho họ), họ ck trả tk cá nhân (HĐ 156:  339.444.000, mình mới unc 89,444,000 vnđ, họ trừ vat hết hóa đơn: 16,164,000 còn lại ck mình 73,280,000)",73.280.000,Trang,,,TK Dung,,20251107-010,
07/11/2025,Thu,,KS Mường Thanh thanh toán công nợ bill 7/11,4.160.000,Trang,,,Tk Ni,,20251107-011,
06/11/2025,Chi,,Mua đồ đơm,75.000,Trang,,,Tiền mặt,,20251106-001,
06/11/2025,Thu,,Anh Việt ST thanh toán công nợ,5.750.000,Trang,,,Tiền mặt,,20251106-002,
06/11/2025,Chi,,TT công nợ chả cá Trí,5.750.000,Trang,,,Tiền mặt,,20251106-003,
06/11/2025,Thu,,Family thanh toán công nợ,2.520.000,Trang,,,Tiền mặt,,20251106-004,
06/11/2025,Chi,,TT công nợ chả cá Trí,2.520.000,Trang,,,Tiền mặt,,20251106-005,
06/11/2025,Thu,,Ngọc Anh ĐN thanh toán công nợ,6.350.000,Trang,,,Tiền mặt,,20251106-006,
06/11/2025,Chi,,TT công nợ chả cá Trí,6.350.000,Trang,,,Tiền mặt,,20251106-007,
06/11/2025,Chi,,Mua 15 bao đá bi,345.000,Trang,,,Tiền mặt,,20251106-008,
06/11/2025,Thu,,chị Hằng totoro DN thanh toán công nợ phần cá nhân,2.744.500,Trang,,,Tiền mặt,,20251106-009,
06/11/2025,Chi,,TT công nợ chả cá Trí,2.744.500,Trang,,,Tiền mặt,,20251106-010,
06/11/2025,Thu,,TP ngày mới thanh toán công nợ,11.213.500,Trang,,,Tiền mặt,,20251106-011,
06/11/2025,Chi,,TT công nợ chị Bé tân,11.213.500,Trang,,,Tiền mặt,,20251106-012,
06/11/2025,Chi,,Gửi 3 thùng xe cont cho Phương HN,750.000,Trang,,,Tiền mặt,,20251106-013,
