Tài khoản,Số dư ban đầu,Số dư hiện tại,Ghi chú
Tiền mặt,28.352.201,6.642.123,
TCB CTY,1.325.864.799,1.006.288.934,
Vay tin dung,-405.810.000,-1.091.371.772,
VRN CTY,80.993.758,95.921.735,
TK Dung,2.251.987,91.404.963,
TK Linh,8.027.347,7.509.347,
TK Sĩ,0,0,Tk NCC chuyển khoản dư
Tk Ni,56.984.100,25.140.550,
Tk Ngợi,10.207.893,10.993.043,
TK Nợ NCC,,-1.232.299.686,Tài khoản VGVINA còn nợ NCC do chưa thanh toán tiền hàng
TK Lệ,2.082.000,0,
TK KN,,1.621.348.170,"Tài khoản Khách mua hàng của VGVINA nhưng còn nợ, chưa thanh toán"
TK Bé Tân,"0,00",0,
TK Sơn,"0,00",4.726.000,
Khoản vay cá nhân Mr Hoàn,"-250.000.000,00",-250.000.000,
Khoản nợ mua xe tại ngân hàng VRN,"-379.000.000,00",-370.000.000,
,"479.954.085,00",-73.696.593,
