Mã hàng,Tên hàng,ĐVT,Tồn đầu kỳ,Nhập,Xuất,Tồn
SP000063,Vẹm Xanh Tách Vỏ,kg,"4.768,30","0,00","0,00","4.768,30"
SP000002,Bạch tuộc tươi,kg,"4.413,45","7.871,30","642,80","11.641,95"
SP000094,Bạch tuộc tươi size 1up,kg,"2.010,70","367,75","0,00","2.378,45"
SP000010,Chả cá,kg,"1.378,00","3.178,50","3.381,00","1.175,50"
SP000001,Bạch tuộc tako,kg,"1.347,39","0,00","2.729,68","-1.382,29"
SP000041,Kiếm steak,kg,"1.292,00","276,00","971,00","597,00"
SP000015,Rong nho tách nước túi zip 100g,Túi,"607,00","0,00","0,00","607,00"
SP000285,Râu bạch tuộc tươi 150g up,kg,"458,14","0,00","5,00","453,14"
SP000009-2,Tuna loin 3-5,kg,"423,63","30,65","550,70","-96,42"
SP000073,Vẹm Xanh Tách Vỏ ( PE),kg,"384,00","0,00","456,00","-72,00"
SP000050,Tuna Saku A,kg,"368,80","0,00","653,06","-284,26"
SP000007,Trứng nhum AB 200g/khay,kg,"359,40","82,26","571,20","-129,54"
SP000118,chả cá hấp,kg,"302,50","180,00","250,00","232,50"
SP000128,sụn xương cá kiếm,kg,"298,30","0,00","350,60","-52,30"
SP000089,Bạch tuộc tươi size 0.5-1kg,kg,"184,10","23,30","0,00","207,40"
SP000008,Râu bạch tuộc,kg,"174,80","0,00","154,80","20,00"
SP000004,tuna saku,kg,"119,40","239,00","870,00","-511,60"
SP000281,Tôm tẩm bột xù,con,"115,00","0,00","0,00","115,00"
SP000137,Tako mix,kg,"109,00","0,00","330,00","-221,00"
SP000265,Bạch tuộc mini 8-13,kg,"101,00","0,00","10,00","91,00"
SP000012,Lườn kiếm nướng,kg,"88,10","0,00","20,40","67,70"
SP000007-01,Trứng nhum AA 100g/khay,kg,"87,80","0,00","14,60","73,20"
SP000275,Cá Thu cắt lát,kg,"86,00","0,00","0,00","86,00"
SP000214,Tuna slice 200g (20pcs/khay),khay,"85,00","0,00","0,00","85,00"
SP000250,Đầu Cá Ngừ,kg,"77,86","0,00","0,00","77,86"
SP000033,Lườn tuna,kg,"73,50","0,00","14,00","59,50"
SP000086,Mực Nang sushi Sashimi đông khay (200g/ khay),Khay,"71,00","324,00","187,00","208,00"
SP000091,Bạch tuộc tươi size 1.0=>1.5 kg,kg,"66,80","0,00","0,00","66,80"
SP000176,Bạch tuộc LSNC 30-50,kg,"66,10","0,00","35,00","31,10"
SP000202,Rẻo Cá Cờ Kiếm CO,kg,"64,50","0,00","0,00","64,50"
SP000040,Bạch Tuộc Tako nhỏ,kg,"64,34","0,00","87,00","-22,66"
SP000156,Đá gel,viên,"58,00","0,00","0,00","58,00"
4607060730296,Cá Chẽm Fillet,kg,"45,60","0,00","0,00","45,60"
sp000002-1,Bạch tuộc tươi (hàng đỏ),kg,"39,50","1.593,30","0,00","1.632,80"
SP000274,Cá Thu Hủ NL,kg,"39,30","0,00","0,00","39,30"
SP000159,Rẻo cá cờ kiếm,kg,"36,00","0,00","132,00","-96,00"
SP000232,Mực nang lớn (không đầu),kg,"35,80","0,00","0,00","35,80"
SP000151,Loin lườn kiếm,kg,"34,30","0,00","48,21","-13,91"
SP000097,Tuna Saku 3A,kg,"33,60","0,00","34,20","-0,60"
SP000268,Trứng Nhum Gai khay 200g,kg,"30,55","0,00","0,20","30,35"
SP000013,Cá đen nguyên con 3-6kg,kg,"26,20","0,00","0,00","26,20"
SP000076,Cá Trích Sashimi ( 100g/ khay),khay,"26,00","0,00","0,00","26,00"
SP000252,Chả Cá Viên,kg,"24,00","5,00","4,00","25,00"
SP000077,Mực Nang sushi Sashimi (160g/ khay),khay,"24,00","205,00","141,00","88,00"
SP000138,Hàu nguyên liệu,kg,"20,00","0,00","0,00","20,00"
SP000016,Rong nho tách nước hộp 180g,Hộp,"20,00","0,00","0,00","20,00"
SP000032,Đuôi cá thu đen,Kg,"17,90","0,00","0,00","17,90"
SP000168,Cá Sa Pa,Kg,"17,00","0,00","0,00","17,00"
SP000011,Lườn kiếm sashimi,kg,"16,90","151,00","123,02","44,88"
NHUMVUN,Nhum vụn,kg,"16,40","0,00","6,00","10,40"
SP000154,Bạch tuộc tako slice (160 gram/khay),Khay,"16,00","0,00","221,00","-205,00"
SP000078,Mực Nang,kg,"15,50","0,00","0,00","15,50"
SP000282,Bánh Takoyaki,kg,"15,00","0,00","15,00","0,00"
SP000279,Ngao Bộp Tím nguyên con,kg,"14,50","0,00","12,00","2,50"
SP000273,Mực Nang lớn Sushi khay 200g,khay,"14,00","0,00","0,00","14,00"
SP000211,Râu bạch tuộc tươi 80-150g,kg,"13,30","0,00","0,00","13,30"
SP000079,Mực Ống,kg,"12,95","30,30","25,96","17,29"
SP000161,Lườn kiếm portion,kg,"12,00","0,00","0,00","12,00"
SP000026,Đầu Tako,kg,"11,50","0,00","0,00","11,50"
SP000142,Mực nang nút 9-10,kg,"10,60","210,50","243,00","-21,90"
SP000069,Cá Cờ Kiếm Saku,kg,"10,60","0,00","123,94","-113,34"
SP000125,Cá Bè Cam fillet,kg,"10,42","0,00","0,00","10,42"
SP000209,Mực Nang sushi Sashimi đông khay (140g/ khay),khay,"10,00","0,00","0,00","10,00"
874718006490,Bạch tuộc nhỏ 50-100g,kg,"9,00","0,00","0,00","9,00"
SP000053,Kiếm vỉ nướng,kg,"8,10","0,00","3,00","5,10"
HAUHYOGO-M,Hàu Nhật Hyogo đông lạnh nguyên vỏ size M (9-11 con/kg),kg,"8,00","10,00","13,00","5,00"
SP000256,Kama cá ngừ,kg,"7,00","0,00","0,00","7,00"
SP000253,Rẻo đen cá kiếm,kg,"6,50","0,00","0,00","6,50"
Cá Mú,Cá Mú,kg,"6,00","0,00","0,00","6,00"
SP000205,Cá Bè (Cá khế) fillet,kg,"5,65","0,00","0,00","5,65"
SP000288,Mực size 6-8,kg,"5,00","0,00","0,00","5,00"
SP000287,Mực Sữa,kg,"5,00","0,00","0,00","5,00"
SP000166,Sushi mực ống 8g,khay,"5,00","10,00","0,00","15,00"
SP000030,Mắt Cá Ngừ,,"5,00","0,00","0,00","5,00"
SP000014,Cá thu đen cắt steak,kg,"5,00","0,00","0,00","5,00"
SP000055,Chả Cá 250g/ bag,Kg,"4,00","0,00","0,00","4,00"
SP000227,Trứng Nhum AA 200g/khay,kg,"3,00","72,00","121,30","-46,30"
SP000115,Cá Hố một nắng,kg,"3,00","0,00","0,00","3,00"
SP000022,Tuna đầu đuôi portion,kg,"2,50","0,00","245,00","-242,50"
SP000225,Mực Ống ssm,kg,"1,75","0,00","0,00","1,75"
SP000284,Tôm Thẻ Lột,kg,"1,60","0,00","3,70","-2,10"
SP000283,Tôm Thẻ,kg,"1,00","0,00","2,00","-1,00"
SP000235,Mực nang cắt sợi đông lạnh (200gr/bịch),kg,"1,00","0,00","0,00","1,00"
SP000035,Phí Vận Chuyển,Lần,10.000,"7,00","67,00","9.940,00"
SP000095,Nhum nguyên con (đvt: con),con,0,"29.894,00","11.050,00","18.844,00"
SP000006,Nang roll,kg,20,"0,00","16,00","4,00"
SP0000083,Nhum nguyên liệu (đvt: con),con,,"2.476,00","0,00","2.476,00"
SP0000100,Nhum hũ,kg,,"239,20","0,00","239,20"
SP0000131,Mực Nang Lớn,kg,,"0,00","171,90","-171,90"
SP0000121,Cá Hồng Biển,kg,,"14,36","22,77","-8,41"
SP0000224,Mực Nang 500-800,kg,65,"964,80","811,60","218,20"
SP0000236,Cá Tai,kg,,"19,83","19,83","0,00"
SP0000024,Tuna loin tươi,kg,,"896,20","0,00","896,20"
SP000271,Trứng nhum tươi,kg,,"0,00","2,00","-2,00"
SP000226,Tuna Saku XK,kg,,"0,00","92,52","-92,52"
SP000045,Bạch tuộc tươi size 1.5-2kg,kg,,"8,50","0,00","8,50"
SP000057,Kiếm Nguyên Con,kg,,"317,30","0,00","317,30"
SP000289,Sò Lông Nửa Mảnh,kg,,"5,00","50,00","-45,00"
SP000300,VAT,lần,,"1,00","2,00","-1,00"
SP000184,Sò Lông NL,kg,,"50,00","0,00","50,00"
SP000188,"Cá Bè (Cá Khế, Cá Giấy, cá viễn)",kg,,"30,32","56,74","-26,42"
SP000081,Râu Tako A,kg,,"0,00","52,66","-52,66"
SP000102,Loin Kiếm,kg,,"429,70","169,50","260,20"
SP000184,Sò Lông nguyên liệu,kg,,"1.532,90","0,00","1.532,90"
SP000108,Cá Chim Vây Vàng,kg,,"0,00","1,23","-1,23"
SP000075,Mùn Cưa,kg,,"0,00","22,00","-22,00"
SP000273,Mực Ống SS khay 200g,khay,,"0,00","1,00","-1,00"
SP000155,Xương cá cờ kiếm,kg,,"0,00","21,00",
SP000056,Bào Ngư,kg,,"0,00","1,90",
SP000020,Tuna rẻo CO,kg,,"0,00","86,00",
SP000005,Tuna steak,kg,,"0,00","40,00",
SP000058,Hải Sâm,kg,,"0,00","1,00",
SP000160,Phí gia công,kg,,"1,00","0,00",
SP000009-1,Tuna loin 5up,kg,,"890,15","0,00",
