Mã chứng từ,Ngày,Loại,Mã hàng,Tên hàng,Đvt,Số lượng,Đơn giá,Thành tiền,Đối tượng,Dạng đối tượng,Tài khoản,,
HD0110-007,01/10/2025,Xuất,SP000069,Cá Cờ Kiếm Saku,kg,"2,2",280.000,616.000,CT TNHH VIETART F&B,NH,TK KN,,
HD0110-007,01/10/2025,Xuất,SP000004,tuna saku,kg,"35,1",270.000,9.477.000,CT TNHH VIETART F&B,NH,TK KN,,
HD0110-008,01/10/2025,Xuất,SP000008,Râu bạch tuộc,kg,"1,0",300.000,300.000,NH UNI SUSHI,NH,TK KN,,
HD0110-008,01/10/2025,Xuất,SP000284,Tôm Thẻ Lột,kg,"1,1",320.000,352.000,NH UNI SUSHI,NH,TK KN,,
HD0110-008,01/10/2025,Xuất,SP000282,Bánh Takoyaki,kg,"2,0",100.000,200.000,NH UNI SUSHI,NH,TK KN,,
HD0110-008,01/10/2025,Xuất,SP000050,Tuna Saku A,kg,"2,0",350.000,700.000,NH UNI SUSHI,NH,TK KN,,
HD0110-009,01/10/2025,Xuất,SP000073,Vẹm Xanh Tách Vỏ ( PE),kg,"50,0",86.000,4.300.000,CT TNHH SƠN MAI VỊ BIỂN (MR NGỌC-NHA TRANG),NPP,TK KN,,
HD0110-010,01/10/2025,Xuất,SP000050,Tuna Saku A,kg,"6,0",375.000,2.250.000,MR THIÊN SS- NHA TRANG,NH,TK KN,,
HD0110-010,01/10/2025,Xuất,SP000069,Cá Cờ Kiếm Saku,kg,"4,3",270.000,1.161.000,MR THIÊN SS- NHA TRANG,NH,TK KN,,
HD0110-011,01/10/2025,Xuất,SP000227,Trứng Nhum AA 200g/khay,kg,"0,4",1.350.000,540.000,MR LEE MINH HEO - HN,KL,TK KN,,
HD0110-012,01/10/2025,Xuất,SP000001,Bạch tuộc tako,kg,"6,8",330.000,2.230.800,MS TUYỀN- THỦ ĐỨC,KL,TK KN,,
HD0110-012,01/10/2025,Xuất,SP000035,Phí Vận Chuyển,Lần,"1,0",50.000,50.000,MS TUYỀN- THỦ ĐỨC,KL,TK KN,,
HD0110-013,01/10/2025,Xuất,SP000001,Bạch tuộc tako,kg,"3,7",360.000,1.314.000,NH YAKI YUM - NGUYỄN VĂN LỘC,NH,TK KN,,
HD0110-014,01/10/2025,Xuất,SP000077,Mực Nang sushi Sashimi (160g/ khay),khay,"10,0",110.250,1.102.500,"CT TNHH TISM & CO ( MR NAM- LA THÀNH,HN)",NH,TK KN,,
HD0110-015,01/10/2025,Xuất,SP000151,Loin lườn kiếm,kg,"6,4",294.000,1.881.600,CT LÊ GiA (MINORI CS2),NH,TK KN,,
PN0110-025,01/10/2025,Nhập,SP000002,Bạch tuộc tươi,kg,"16,2",135.000,2.187.000,NCC BÉ TÂN - VĨNH LƯƠNG,NCC,TK Nợ NCC,,14
PN0110-025,01/10/2025,Nhập,sp000002-1,Bạch tuộc tươi (hàng đỏ),kg,"8,1",130.000,1.053.000,NCC BÉ TÂN - VĨNH LƯƠNG,NCC,TK Nợ NCC,,24
PN0110-026,01/10/2025,Nhập,SP000095,Nhum nguyên con (đvt: con),con,"400,0",4.000,1.600.000,NCC NHUM ĐEN - QUANH BÙI,NCC,TK Nợ NCC,,
HD0110-028,01/10/2025,Xuất,SP000041,Kiếm steak,kg,"50,0",101.850,5.092.500,CT TNHH VẠN QUANG FOOD,NPP,TK KN,,10
HD0110-028,01/10/2025,Xuất,SP000035,Phí Vận Chuyển,Lần,"1,0",150.000,150.000,CT TNHH VẠN QUANG FOOD,NPP,TK KN,,
HD0110-029,01/10/2025,Xuất,SP000227,Trứng Nhum AA 200g/khay,kg,"5,0",1.250.000,6.250.000,MR TOÀN - ĐÀ NẴNG,KL,TK KN,,
HD0110-029,01/10/2025,Xuất,SP000035,Phí Vận Chuyển,Lần,"1,0",100.000,100.000,MR TOÀN - ĐÀ NẴNG,KL,TK KN,,
HD0110-030,01/10/2025,Xuất,SP000010,Chả cá,kg,"120,0",68.000,8.160.000,CT TNHH MTV ĐẠT PHÚ NGUYÊN,NPP,TK KN,,
HD0110-030,01/10/2025,Xuất,SP000095,Nhum nguyên con (đvt: con),con,"400,0",5.500,2.200.000,CT TNHH MTV ĐẠT PHÚ NGUYÊN,NPP,TK KN,,
HD0210-001,01/10/2025,Xuất,SP000001,Bạch tuộc tako,kg,"1,3",290.000,362.500,CT TNHH NH NAM SAN F&B (SUSHI NOWZOON),NH,TK KN,,
HD0210-001,01/10/2025,Xuất,SP000050,Tuna Saku A,kg,"3,1",390.000,1.209.000,CT TNHH NH NAM SAN F&B (SUSHI NOWZOON),NH,TK KN,,
HD0210-001,01/10/2025,Xuất,SP000006,Nang roll,kg,"1,0",380.000,380.000,CT TNHH NH NAM SAN F&B (SUSHI NOWZOON),NH,TK KN,,
HD0210-001,01/10/2025,Xuất,SP000001,Bạch tuộc tako,kg,"1,4",280.000,394.800,MR THUẬN- SG (NOWZOON),KL,TK KN,,
HD0210-001,01/10/2025,Xuất,SP000050,Tuna Saku A,kg,"0,5",390.000,195.000,MR THUẬN- SG (NOWZOON),KL,TK KN,,
PN0210-001,01/10/2025,Nhập,SP0000083,Nhum nguyên liệu (đvt: con),con,"414,0",39.000,16.146.000,NCC KIM DUNG - NINH HÒA,NCC,TK Nợ NCC,,
PN0210-001,01/10/2025,Nhập,SP000002,Bạch tuộc tươi,kg,"16,7",150.000,2.505.000,NCC KIM DUNG - NINH HÒA,NCC,TK Nợ NCC,,
PN0210-001,01/10/2025,Nhập,SP000010,Chả cá,kg,"360,0",56.000,20.160.000,NCC CHẢ CÁ - CHỊ TUYẾT SƯƠNG - PY,NCC,TK Nợ NCC,,
PN0210-001,01/10/2025,Nhập,SP0000100,Nhum hũ,kg,"9,6",820.000,7.872.000,NCC NGUYỄN THỊ THU - PHÚ QUÝ,NCC,TK Nợ NCC,,
PN0210-001,01/10/2025,Nhập,SP000002,Bạch tuộc tươi,kg,"61,0",130.000,7.930.000,NCC NGUYỄN THỊ THU - PHÚ QUÝ,NCC,TK Nợ NCC,,
PN0210-001,01/10/2025,Nhập,SP000041,Kiếm steak,kg,"100,0",85.000,8.500.000,CT TRƯỜNG THẢO - PY (TRƯỜNG),NCC,TK Nợ NCC,TRUE,
HD0210-001,02/10/2025,Xuất,SP000227,Trứng Nhum AA 200g/khay,kg,"3,0",1.200.000,3.600.000,CT CP DV TM HADU,NH,TK KN,,
HD0210-002,02/10/2025,Xuất,SP000001,Bạch tuộc tako,kg,"26,7",320.000,8.544.000,MR LƯỢNG - BẮC NINH,NH,TK KN,,
HD0210-003,02/10/2025,Xuất,HAUHYOGO-M,Hàu Nhật Hyogo đông lạnh nguyên vỏ size M (9-11 con/kg),kg,"2,0",215.000,430.000,NH UNI SUSHI,NH,TK KN,,
HD0210-003,02/10/2025,Xuất,SP000176,Bạch tuộc LSNC 30-50,kg,"1,0",50.000,50.000,NH UNI SUSHI,NH,TK KN,,
HD0210-003,02/10/2025,Xuất,SP000069,Cá Cờ Kiếm Saku,kg,"1,3",220.000,286.000,NH UNI SUSHI,NH,TK KN,,
HD0210-004,02/10/2025,Xuất,SP000001,Bạch tuộc tako,kg,"9,4",320.760,3.015.144,CT TNHH NGUYÊN PHƯƠNG,NPP,TK KN,,
HD0210-004,02/10/2025,Xuất,SP000001,Bạch tuộc tako,kg,"39,3",339.120,13.327.416,CT TNHH NGUYÊN PHƯƠNG,NPP,TK KN,,
HD0210-005,02/10/2025,Xuất,SP000002,Bạch tuộc tươi,kg,"30,5",162.750,4.963.875,CT TNHH MTV TM DV HH TP PHÚ QUỐC (ANH THỰC-PQ),NPP,TK KN,,
HD0210-006,02/10/2025,Xuất,SP000002,Bạch tuộc tươi,kg,"110,7",170.000,18.819.000,CT TNHH ĐT TS PHÚ THỊNH,NPP,TK KN,,
HD0210-007,02/10/2025,Xuất,SP000137,Tako mix,kg,"20,0",130.000,2.600.000,MS LÌ - SÀI GÒN,KL,TK KN,,
HD0210-008,02/10/2025,Xuất,SP000050,Tuna Saku A,kg,"20,0",360.000,7.200.000,MS GIANG- CẦN THƠ,KL,TK KN,,
